"x" "y" "z"
"853" "20" 0.72 39.6
"854" "20" 0.72 40.32
"855" "20" 0.72 41.04
"856" "20" 0.72 41.76
"857" "20" 0.72 42.48
"858" "20" 0.72 43.2
"859" "20" 0.72 43.92
"860" "20" 0.72 44.64
"861" "20" 0.72 45.36
"862" "20" 0.72 46.08
"863" "20" 0.72 46.8
"864" "20" 0.72 47.52
"865" "20" 0.72 48.24
"866" "20" 0.72 48.96
"867" "20" 0.72 49.68
"868" "20" 0.72 50.4
"869" "20" 0.72 51.12
"870" "20" 0.72 51.84
"871" "20" 0.72 52.56
"872" "20" 0.72 53.28
"873" "20" 0.72 54
"874" "20" 0.72 54.72
"875" "20" 0.72 55.44
"876" "20" 0.72 56.16
"877" "20" 0.72 56.88
"878" "20" 0.72 57.6
"879" "20" 0.72 58.32
"880" "20" 0.72 59.04
"881" "20" 0.72 59.76
"882" "20" 0.240000000000002 60
"883" "21" 0.72 0.72
"884" "21" 0.72 1.44
"885" "21" 0.72 2.16
"886" "21" 0.72 2.88
"887" "21" 0.72 3.6
"888" "21" 0.72 4.32
"889" "21" 0.72 5.04
"890" "21" 0.72 5.76
"891" "21" 0.72 6.48
"892" "21" 0.72 7.2
"893" "21" 0.72 7.92
"894" "21" 0.72 8.64
"895" "21" 0.72 9.36
"896" "21" 0.72 10.08
"897" "21" 0.72 10.8
"898" "21" 0.72 11.52
"899" "21" 0.72 12.24
"900" "21" 0.72 12.96
"901" "21" 0.72 13.68
"902" "21" 0.72 14.4
"903" "21" 0.72 15.12
"904" "21" 0.72 15.84
"905" "21" 0.72 16.56
"906" "21" 0.72 17.28
"907" "21" 0.72 18
"908" "21" 0.72 18.72
"909" "21" 0.72 19.44
"910" "21" 0.72 20.16
"911" "21" 0.72 20.88
"912" "21" 0.72 21.6
"913" "21" 0.72 22.32
"914" "21" 0.72 23.04
"915" "21" 0.72 23.76
"916" "21" 0.72 24.48
"917" "21" 0.72 25.2
"918" "21" 0.72 25.92
"919" "21" 0.72 26.64
"920" "21" 0.72 27.36
"921" "21" 0.72 28.08
"922" "21" 0.72 28.8
"923" "21" 0.72 29.52
"924" "21" 0.72 30.24
"925" "21" 0.72 30.96
"926" "21" 0.72 31.68
"927" "21" 0.72 32.4
"928" "21" 0.72 33.12
"929" "21" 0.72 33.84
"930" "21" 0.72 34.56
"931" "21" 0.72 35.28
"932" "21" 0.72 36
